symbol,token,name
Nifty 50,99926000,NIFTY
Nifty GrowSect 15,99926001,NIFTY GROWSECT 15
Nifty50 PR 2x Lev,99926002,NIFTY50 PR 2X LEV
Nifty 500,99926004,NIFTY 500
Nifty IT,99926008,NIFTY IT
Nifty Bank,99926009,BANKNIFTY
NIFTY MIDCAP 100,99926011,NIFTY MIDCAP 100
Nifty 100,99926012,NIFTY 100
Nifty Next 50,99926013,NIFTYNXT50
Nifty Midcap 50,99926014,NIFTY MIDCAP 50
Nifty Realty,99926018,NIFTY REALTY
Nifty Infra,99926019,NIFTY INFRA
Nifty Energy,99926020,NIFTY ENERGY
Nifty FMCG,99926021,NIFTY FMCG
Nifty MNC,99926022,NIFTY MNC
Nifty Pharma,99926023,NIFTY PHARMA
Nifty PSE,99926024,NIFTY PSE
Nifty PSU Bank,99926025,NIFTY PSU BANK
Nifty Serv Sector,99926026,NIFTY SERV SECTOR
Nifty Auto,99926029,NIFTY AUTO
Nifty Metal,99926030,NIFTY METAL
Nifty Media,99926031,NIFTY MEDIA
NIFTY SMLCAP 100,99926032,NIFTY SMLCAP 100
Nifty 200,99926033,NIFTY 200
Nifty Div Opps 50,99926034,NIFTY DIV OPPS 50
Nifty Commodities,99926035,NIFTY COMMODITIES
Nifty Consumption,99926036,NIFTY CONSUMPTION
Nifty Fin Service,99926037,FINNIFTY
Nifty50 Div Point,99926038,NIFTY50 DIV POINT
Nifty100 Liq 15,99926040,NIFTY100 LIQ 15
Nifty CPSE,99926041,NIFTY CPSE
Nifty50 PR 1x Inv,99926042,NIFTY50 PR 1X INV
Nifty50 TR 2x Lev,99926043,NIFTY50 TR 2X LEV
Nifty50 TR 1x Inv,99926044,NIFTY50 TR 1X INV
Nifty50 Value 20,99926045,NIFTY50 VALUE 20
Nifty Mid Liq 15,99926046,NIFTY MID LIQ 15
Nifty Pvt Bank,99926047,NIFTY PVT BANK
NIFTY100 Qualty30,99926048,NIFTY100 QUALTY30
Nifty GS 8 13Yr,99926049,NIFTY GS 8 13YR
Nifty GS 10Yr,99926050,NIFTY GS 10YR
Nifty GS 10Yr Cln,99926051,NIFTY GS 10YR CLN
Nifty GS 4 8Yr,99926052,NIFTY GS 4 8YR
Nifty GS 11 15Yr,99926053,NIFTY GS 11 15YR
Nifty GS 15YrPlus,99926054,NIFTY GS 15YRPLUS
Nifty GS Compsite,99926055,NIFTY GS COMPSITE
NIFTY50 EQL Wgt,99926056,NIFTY50 EQL WGT
NIFTY100 EQL Wgt,99926057,NIFTY100 EQL WGT
NIFTY100 LowVol30,99926058,NIFTY100 LOWVOL30
NIFTY Alpha 50,99926059,NIFTY ALPHA 50
NIFTY MIDCAP 150,99926060,NIFTY MIDCAP 150
NIFTY SMLCAP 50,99926061,NIFTY SMLCAP 50
NIFTY SMLCAP 250,99926062,NIFTY SMLCAP 250
NIFTY MIDSML 400,99926063,NIFTY MIDSML 400
NIFTY200 QUALTY30,99926064,NIFTY200 QUALTY30
NIFTY MID SELECT,99926074,MIDCPNIFTY
BALKRISHNA-EQ,10181,BALKRISHNA
SHYAMCENT-EQ,10188,SHYAMCENT
AARON-EQ,1030,AARON
AXISBNKETF-EQ,1044,AXISBNKETF
SATIN-EQ,10453,SATIN
UFLEX-EQ,1053,UFLEX
NAVKARCORP-EQ,10557,NAVKARCORP
KRBL-EQ,10577,KRBL
SHREEPUSHK-EQ,10588,SHREEPUSHK
MOMENTUM-EQ,10693,MOMENTUM
FOSECOIND-EQ,1073,FOSECOIND
OFSS-EQ,10738,OFSS
UNIONBANK-EQ,10753,UNIONBANK
NUCLEUS-EQ,10791,NUCLEUS
GENESYS-EQ,10905,GENESYS
JUNIORBEES-EQ,10939,JUNIORBEES
TMB-EQ,10945,TMB
INDORAMA-EQ,10993,INDORAMA
CREATIVE-EQ,11155,CREATIVE
INDIGO-EQ,11195,INDIGO
UPL-EQ,11287,UPL
SALZERELEC-EQ,11399,SALZERELEC
PILANIINVS-EQ,11445,PILANIINVS
EXCELINDUS-EQ,11471,EXCELINDUS
TCS-EQ,11536,TCS
TEXINFRA-EQ,11549,TEXINFRA
BOHRAIND-EQ,11640,BOHRAIND
DWARKESH-EQ,11667,DWARKESH
SUPRAJIT-EQ,11689,SUPRAJIT
PATELENG-EQ,11699,PATELENG
GOYALALUM-EQ,11787,GOYALALUM
ALLDIGI-EQ,11798,ALLDIGI
SHOPERSTOP-EQ,11813,SHOPERSTOP
WELCORP-EQ,11821,WELCORP
SSWL-EQ,11829,SSWL
MCLEODRUSS-EQ,11943,MCLEODRUSS
MEDANTA-EQ,11956,MEDANTA
FCSSOFT-EQ,11999,FCSSOFT
SUZLON-EQ,12018,SUZLON
FIVESTAR-EQ,12032,FIVESTAR
BASML-EQ,12034,BASML
HDFCPVTBAN-EQ,12108,HDFCPVTBAN
FINIETF-EQ,12578,FINIETF
ADANIENSOL-EQ,10217,ADANIENSOL
CSLFINANCE-EQ,10350,CSLFINANCE
JISLJALEQS-EQ,10397,JISLJALEQS
MOM30IETF-EQ,10585,MOM30IETF
ASAL-EQ,10634,ASAL
INDIAMART-EQ,10726,INDIAMART
OAL-EQ,10768,OAL
MOVALUE-EQ,10825,MOVALUE
DBOL-EQ,10893,DBOL
DANGEE-EQ,1110,DANGEE
APOLLO-EQ,1134,APOLLO
SHK-EQ,11212,SHK
WELSPUNLIV-EQ,11253,WELSPUNLIV
JAIBALAJI-EQ,11256,JAIBALAJI
HDFCNIFTY-EQ,11591,HDFCNIFTY
NTPC-EQ,11630,NTPC
JPPOWER-EQ,11763,JPPOWER
MANGALAM-EQ,11817,MANGALAM
JSWHL-EQ,11880,JSWHL
VHL-EQ,11892,VHL
FMGOETZE-EQ,1190,FMGOETZE
SCPL-EQ,12072,SCPL
KAYNES-EQ,12092,KAYNES
HNDFDS-EQ,12173,HNDFDS
GSFC-EQ,1247,GSFC
AAATECH-EQ,12533,AAATECH
SCHAEFFLER-EQ,1011,SCHAEFFLER
GODREJCP-EQ,10099,GODREJCP
FEDERALBNK-EQ,1023,FEDERALBNK
FINCABLES-EQ,1038,FINCABLES
RAMASTEEL-EQ,10300,RAMASTEEL
AURUM-EQ,10310,AURUM
CONS-EQ,10512,CONS
TCI-EQ,10580,TCI
PNB-EQ,10666,PNB
NIFTYQLITY-EQ,10690,NIFTYQLITY
SPORTKING-EQ,10733,SPORTKING
SYRMA-EQ,10793,SYRMA
RADAAN-EQ,10932,RADAAN
SANGINITA-EQ,11032,SANGINITA
BANKIETF-EQ,11037,BANKIETF
SUMIT-EQ,11140,SUMIT
BAGFILMS-EQ,11226,BAGFILMS
HDFCGROWTH-EQ,11241,HDFCGROWTH
HDFCQUAL-EQ,11255,HDFCQUAL
TVSELECT-EQ,11265,TVSELECT
BALAXI-EQ,11309,BALAXI
AFFLE-EQ,11343,AFFLE
PETRONET-EQ,11351,PETRONET
PTC-EQ,11355,PTC
GICHSGFIN-EQ,1139,GICHSGFIN
MAHABANK-EQ,11377,MAHABANK
XPROINDIA-EQ,11407,XPROINDIA
LT-EQ,11483,LT
APARINDS-EQ,11491,APARINDS
PPLPHARMA-EQ,11571,PPLPHARMA
GULFPETRO-EQ,11581,GULFPETRO
GUFICBIO-EQ,11606,GUFICBIO
KOTARISUG-EQ,11647,KOTARISUG
CONSOFINVT-EQ,11731,CONSOFINVT
GEOJITFSL-EQ,11896,GEOJITFSL
HDFCNIFIT-EQ,12101,HDFCNIFIT
DELTAMAGNT-EQ,1214,DELTAMAGNT
DOLATALGO-EQ,12124,DOLATALGO
SYNGENE-EQ,10243,SYNGENE
MOHEALTH-EQ,10508,MOHEALTH
UTISENSETF-EQ,10515,UTISENSETF
BHARTIARTL-EQ,10604,BHARTIARTL
MOQUALITY-EQ,10822,MOQUALITY
GODREJIND-EQ,10925,GODREJIND
DIVISLAB-EQ,10940,DIVISLAB
KSOLVES-EQ,11060,KSOLVES
VARDHACRLC-EQ,11220,VARDHACRLC
LUXIND-EQ,11301,LUXIND
DHANBANK-EQ,11359,DHANBANK
TIPSFILMS-EQ,11374,TIPSFILMS
POONAWALLA-EQ,11403,POONAWALLA
GIPCL-EQ,1145,GIPCL
NEWGEN-EQ,1164,NEWGEN
ALKEM-EQ,11703,ALKEM
XCHANGING-EQ,11705,XCHANGING
ACEINTEG-EQ,11779,ACEINTEG
JKPAPER-EQ,11860,JKPAPER
FAZE3Q-EQ,12000,FAZE3Q
TEAMLEASE-EQ,12716,TEAMLEASE
KRISHANA-EQ,12847,KRISHANA
GFLLIMITED-EQ,1289,GFLLIMITED
360ONE-EQ,13061,360ONE
ORIENTCER-EQ,13111,ORIENTCER
CELEBRITY-EQ,13162,CELEBRITY
INDOTECH-EQ,13275,INDOTECH
M&MFIN-EQ,13285,M&MFIN
NITCO-EQ,13300,NITCO
SUNTV-EQ,13404,SUNTV
RAMANEWS-EQ,13565,RAMANEWS
FLUOROCHEM-EQ,13750,FLUOROCHEM
GREENPANEL-EQ,13810,GREENPANEL
DONEAR-EQ,13839,DONEAR
LUMAXTECH-EQ,14014,LUMAXTECH
SIYSIL-EQ,14096,SIYSIL
NETWORK18-EQ,14111,NETWORK18
UNOMINDA-EQ,14154,UNOMINDA
PAGEIND-EQ,14413,PAGEIND
KMSUGAR-EQ,14667,KMSUGAR
DLF-EQ,14732,DLF
AXSENSEX-EQ,14742,AXSENSEX
031NSETEST-EQ,14753,031NSETEST
041NSETEST-EQ,14755,041NSETEST
131NSETEST-EQ,14778,131NSETEST
SPARC-EQ,14788,SPARC
CENTRALBK-EQ,14894,CENTRALBK
KPRMILL-EQ,14912,KPRMILL
TAKE-EQ,14917,TAKE
CIEINDIA-EQ,14937,CIEINDIA
RELIGARE-EQ,15068,RELIGARE
EDELWEISS-EQ,15119,EDELWEISS
JYOTHYLAB-EQ,15146,JYOTHYLAB
KIRLPNU-EQ,15180,KIRLPNU
KAVDEFENCE-EQ,15244,KAVDEFENCE
KNRCON-EQ,15283,KNRCON
PDMJEPAPER-EQ,15377,PDMJEPAPER
RACE-EQ,15391,RACE
TATAINVEST-EQ,1621,TATAINVEST
KIRIINDUS-EQ,16639,KIRIINDUS
PTCIL-EQ,16682,PTCIL
GHCLTEXTIL-EQ,16696,GHCLTEXTIL
UBL-EQ,16713,UBL
LPDC-EQ,16863,LPDC
ARTEMISMED-EQ,16913,ARTEMISMED
20MICRONS-EQ,16921,20MICRONS
MAWANASUG-EQ,17022,MAWANASUG
ARMANFIN-EQ,17263,ARMANFIN
ASPINWALL-EQ,17270,ASPINWALL
BANKETF-EQ,17419,BANKETF
GLOBUSSPR-EQ,17424,GLOBUSSPR
EXPLEOSOL-EQ,17486,EXPLEOSOL
MAHEPC-EQ,17603,MAHEPC
DEN-EQ,17722,DEN
TREL-EQ,17795,TREL
WHIRLPOOL-EQ,18011,WHIRLPOOL
JYOTISTRUC-EQ,1802,JYOTISTRUC
MBLINFRA-EQ,18029,MBLINFRA
THANGAMAYL-EQ,18118,THANGAMAYL
YASHO-EQ,18131,YASHO
ORIENTLTD-EQ,18208,ORIENTLTD
RATNAVEER-EQ,18423,RATNAVEER
ICICIPRULI-EQ,18652,ICICIPRULI
SJVN-EQ,18883,SJVN
MVGJL-EQ,19015,MVGJL
IMFA-EQ,19235,IMFA
AARTISURF-EQ,19233,AARTISURF
PLAZACABLE-EQ,19458,PLAZACABLE
SECMARK-EQ,19496,SECMARK
PRAKASHSTL-EQ,19599,PRAKASHSTL
PRICOLLTD-EQ,19631,PRICOLLTD
ADFFOODS-EQ,19761,ADFFOODS
EGOLD-EQ,19933,EGOLD
KILITCH-EQ,19937,KILITCH
INTENTECH-EQ,20071,INTENTECH
GREENPOWER-EQ,20110,GREENPOWER
ESILVER-EQ,20257,ESILVER
PRESTIGE-EQ,20302,PRESTIGE
FEDFINA-EQ,20322,FEDFINA
RAMCOCEM-EQ,2043,RAMCOCEM
SUPERHOUSE-EQ,20616,SUPERHOUSE
SURAJEST-EQ,20822,SURAJEST
MAHSCOOTER-EQ,2085,MAHSCOOTER
RKDL-EQ,20950,RKDL
MARALOVER-EQ,2112,MARALOVER
GTPL-EQ,21195,GTPL
MOM100-EQ,21423,MOM100
UTINEXT50-EQ,21478,UTINEXT50
STEL-EQ,21484,STEL
APEX-EQ,21623,APEX
DIXON-EQ,21690,DIXON
BANKBETF-EQ,21986,BANKBETF
ITIETF-EQ,22365,ITIETF
JSFB-EQ,22663,JSFB
MON100-EQ,22739,MON100
EXICOM-EQ,22947,EXICOM
KRYSTAL-EQ,23175,KRYSTAL
GLOSTERLTD-EQ,23590,GLOSTERLTD
ABSLPSE-EQ,23806,ABSLPSE
PEL-EQ,2412,PEL
PIIND-EQ,24184,PIIND
STANLEY-EQ,24226,STANLEY
COMMOIETF-EQ,13198,COMMOIETF
JKCEMENT-EQ,13270,JKCEMENT
KEI-EQ,13310,KEI
HEG-EQ,1336,HEG
VAKRANGEE-EQ,13342,VAKRANGEE
PFOCUS-EQ,13496,PFOCUS
ALLCARGO-EQ,13501,ALLCARGO
MUNJALAU-EQ,13511,MUNJALAU
TALBROAUTO-EQ,13648,TALBROAUTO
NRL-EQ,13675,NRL
ACLGATI-EQ,13688,ACLGATI
KAMOPAINTS-EQ,13814,KAMOPAINTS
VENUSREM-EQ,13859,VENUSREM
KUANTUM-EQ,13870,KUANTUM
HBLENGINE-EQ,13966,HBLENGINE
TANLA-EQ,13976,TANLA
ABSLBANETF-EQ,13987,ABSLBANETF
AVTNPL-EQ,14008,AVTNPL
GANDHITUBE-EQ,14116,GANDHITUBE
HINDZINC-EQ,1424,HINDZINC
POCL-EQ,14385,POCL
GOLDBEES-EQ,14428,GOLDBEES
GOLDSHARE-EQ,14535,GOLDSHARE
AKZOINDIA-EQ,1467,AKZOINDIA
081NSETEST-EQ,14767,081NSETEST
LOWVOL-EQ,14786,LOWVOL
MEGASOFT-EQ,14793,MEGASOFT
OMAXE-EQ,14853,OMAXE
MAGNUM-EQ,14957,MAGNUM
DVL-EQ,15214,DVL
AMBIKCO-EQ,15234,AMBIKCO
VIRINCHI-EQ,15295,VIRINCHI
DPSCLTD-EQ,15419,DPSCLTD
RKEC-EQ,1547,RKEC
INFY-EQ,1594,INFY
IONEXCHANG-EQ,1630,IONEXCHANG
ANDHRAPAP-EQ,166,ANDHRAPAP
VAISHALI-EQ,16589,VAISHALI
SIGMA-EQ,16658,SIGMA
DIGISPICE-EQ,16683,DIGISPICE
GOKUL-EQ,16705,GOKUL
IVP-EQ,1681,IVP
DPWIRES-EQ,16900,DPWIRES
MIDCAPIETF-EQ,17152,MIDCAPIETF
SENCO-EQ,17271,SENCO
ADANIPOWER-EQ,17388,ADANIPOWER
OIL-EQ,17438,OIL
NV20IETF-EQ,17475,NV20IETF
RTNPOWER-EQ,17520,RTNPOWER
MAHASTEEL-EQ,17527,MAHASTEEL
PSUBANKADD-EQ,17616,PSUBANKADD
YATHARTH-EQ,17738,YATHARTH
SHILPAMED-EQ,17752,SHILPAMED
GROBTEA-EQ,17770,GROBTEA
GEEKAYWIRE-EQ,17922,GEEKAYWIRE
HINDCOPPER-EQ,17939,HINDCOPPER
NESTLEIND-EQ,17963,NESTLEIND
SRGHFL-EQ,18119,SRGHFL
SPAL-EQ,18252,SPAL
NIFMID150-EQ,18347,NIFMID150
RBLBANK-EQ,18391,RBLBANK
POWERINDIA-EQ,18457,POWERINDIA
KIRLOSBROS-EQ,18581,KIRLOSBROS
MARATHON-EQ,18659,MARATHON
TARAPUR-EQ,18827,TARAPUR
VERTOZ-EQ,18863,VERTOZ
PNBHOUSING-EQ,18908,PNBHOUSING
STYRENIX-EQ,19,STYRENIX
LIQUIDETF-EQ,1927,LIQUIDETF
SFL-EQ,19184,SFL
SPCENET-EQ,19372,SPCENET
BOROLTD-EQ,19401,BOROLTD
BAJAJCON-EQ,19531,BAJAJCON
BSE-EQ,19585,BSE
HONASA-EQ,19813,HONASA
AKSHARCHEM-EQ,20178,AKSHARCHEM
IREDA-EQ,20261,IREDA
BAJEL-EQ,20531,BAJEL
DOLLAR-EQ,20560,DOLLAR
HAPPYFORGE-EQ,20854,HAPPYFORGE
CDSL-EQ,21174,CDSL
AUBANK-EQ,21238,AUBANK
LOWVOLIETF-EQ,21254,LOWVOLIETF
MFSL-EQ,2142,MFSL
STEELXIND-EQ,21339,STEELXIND
BDL-EQ,2144,BDL
THEINVEST-EQ,21427,THEINVEST
TATSILV-EQ,21428,TATSILV
COCHINSHIP-EQ,21508,COCHINSHIP
RAJMET-EQ,2168,RAJMET
LIQUIDCASE-EQ,21750,LIQUIDCASE
EBBETF0431-EQ,22239,EBBETF0431
NDRAUTO-EQ,22255,NDRAUTO
MCL-EQ,22360,MCL
TOTAL-EQ,22423,TOTAL
HLEGLAS-EQ,2289,HLEGLAS
LANCORHOL-EQ,23027,LANCORHOL
JGCHEM-EQ,23056,JGCHEM
GOPAL-EQ,23066,GOPAL
NELCO-EQ,2388,NELCO
RELAXO-EQ,24225,RELAXO
VRAJ-EQ,24321,VRAJ
IIFLCAPS-EQ,13072,IIFLCAPS
REPRO-EQ,13126,REPRO
ROHLTD-EQ,13182,ROHLTD
GSPL-EQ,13197,GSPL
BLKASHYAP-EQ,13290,BLKASHYAP
CENTURYPLY-EQ,13305,CENTURYPLY
KKCL-EQ,13381,KKCL
AKASH-EQ,13510,AKASH
GRINDWELL-EQ,13560,GRINDWELL
RADIANTCMS-EQ,13580,RADIANTCMS
HINDALCO-EQ,1363,HINDALCO
GEECEE-EQ,13658,GEECEE
FIEMIND-EQ,13710,FIEMIND
GLOBALVECT-EQ,13735,GLOBALVECT
RUCHIRA-EQ,13821,RUCHIRA
AARTIPHARM-EQ,13868,AARTIPHARM
PLASTIBLEN-EQ,13920,PLASTIBLEN
JASH-EQ,13982,JASH
PTL-EQ,14101,PTL
CTE-EQ,14218,CTE
TIIL-EQ,14223,TIIL
REDINGTON-EQ,14255,REDINGTON
PGIL-EQ,14260,PGIL
ORIENTBELL-EQ,14278,ORIENTBELL
SEQUENT-EQ,14296,SEQUENT
INDIANB-EQ,14309,INDIANB
HSCL-EQ,14334,HSCL
APOLLOPIPE-EQ,14361,APOLLOPIPE
ICRA-EQ,14523,ICRA
ZENITHSTL-EQ,14562,ZENITHSTL
NAVINFLUOR-EQ,14672,NAVINFLUOR
GOACARBON-EQ,14687,GOACARBON
151NSETEST-EQ,14782,151NSETEST
INDOWIND-EQ,14952,INDOWIND
CCCL-EQ,14992,CCCL
RECLTD-EQ,15355,RECLTD
ATAM-EQ,15404,ATAM
TARC-EQ,1581,TARC
HCG-EQ,15555,HCG
PRINCEPIPE-EQ,16045,PRINCEPIPE
APOLLOTYRE-EQ,163,APOLLOTYRE
IOC-EQ,1624,IOC
ANIKINDS-EQ,16657,ANIKINDS
JOCIL-EQ,16927,JOCIL
SHARIABEES-EQ,17044,SHARIABEES
PALREDTEC-EQ,17062,PALREDTEC
SUMICHEM-EQ,17105,SUMICHEM
SENSEXADD-EQ,17613,SENSEXADD
ZYDUSWELL-EQ,17635,ZYDUSWELL
GODREJPROP-EQ,17875,GODREJPROP
BAYERCROP-EQ,17927,BAYERCROP
VLEGOV-EQ,18012,VLEGOV
SBFC-EQ,18026,SBFC
SANDUMA-EQ,18359,SANDUMA
TCPLPACK-EQ,184,TCPLPACK
KCP-EQ,1841,KCP
TVVISION-EQ,18504,TVVISION
DIACABS-EQ,18543,DIACABS
JLHL-EQ,18553,JLHL
CUMMINSIND-EQ,1901,CUMMINSIND
KIOCL-EQ,19126,KIOCL
KOPRAN-EQ,1919,KOPRAN
MOM50-EQ,19289,MOM50
MUFIN-EQ,19783,MUFIN
RADIOCITY-EQ,19877,RADIOCITY
LIBERTSHOE-EQ,1994,LIBERTSHOE
DMART-EQ,19913,DMART
LICHSGFIN-EQ,1997,LICHSGFIN
INFRABEES-EQ,20072,INFRABEES
LUMAXIND-EQ,2018,LUMAXIND
RAMKY-EQ,20134,RAMKY
ZEELEARN-EQ,20852,ZEELEARN
STARCEMENT-EQ,21091,STARCEMENT
ASHOKLEY-EQ,212,ASHOKLEY
MASTEK-EQ,2124,MASTEK
AVADHSUGAR-EQ,21406,AVADHSUGAR
MATRIMONY-EQ,21726,MATRIMONY
SBILIFE-EQ,21808,SBILIFE
SUNDARMHLD-EQ,2183,SUNDARMHLD
MACPOWER-EQ,22347,MACPOWER
EPACK-EQ,22463,EPACK
SIGNPOST-EQ,22656,SIGNPOST
MRF-EQ,2277,MRF
NCC-EQ,2319,NCC
BHARTIHEXA-EQ,23489,BHARTIHEXA
MUTHOOTFIN-EQ,23650,MUTHOOTFIN
TBOTEK-EQ,23740,TBOTEK
AWFIS-EQ,23864,AWFIS
TOP100CASE-EQ,24081,TOP100CASE
VADILALIND-EQ,24196,VADILALIND
IVZINNIFTY-EQ,24217,IVZINNIFTY
DHARMAJ-EQ,13001,DHARMAJ
HARRMALAYA-EQ,1313,HARRMALAYA
GSEC10IETF-EQ,13143,GSEC10IETF
ENIL-EQ,13192,ENIL
SULA-EQ,13218,SULA
SADBHAV-EQ,13236,SADBHAV
KEC-EQ,13260,KEC
SOLARINDS-EQ,13332,SOLARINDS
MALUPAPER-EQ,13352,MALUPAPER
UTTAMSUGAR-EQ,13376,UTTAMSUGAR
EMKAY-EQ,13421,EMKAY
KELLTONTEC-EQ,13430,KELLTONTEC
AVONMORE-EQ,13557,AVONMORE
ANANTRAJ-EQ,13620,ANANTRAJ
ELECON-EQ,13643,ELECON
HCC-EQ,1375,HCC
JHS-EQ,13720,JHS
DCBBANK-EQ,13725,DCBBANK
MANALIPETC-EQ,13796,MANALIPETC
HINDUNILVR-EQ,1394,HINDUNILVR
VEEDOL-EQ,14019,VEEDOL
WANBURY-EQ,14063,WANBURY
ASMS-EQ,14064,ASMS
HDFCBSE500-EQ,14230,HDFCBSE500
HDFCMID150-EQ,14236,HDFCMID150
TFL-EQ,14319,TFL
GANESHHOU-EQ,14339,GANESHHOU
LEXUS-EQ,14459,LEXUS
AROGRANITE-EQ,14557,AROGRANITE
ALPHAGEO-EQ,14597,ALPHAGEO
HILTON-EQ,14627,HILTON
ACCURACY-EQ,1465,ACCURACY
021NSETEST-EQ,14751,021NSETEST
101NSETEST-EQ,14772,101NSETEST
141NSETEST-EQ,14781,141NSETEST
IFBIND-EQ,1485,IFBIND
IFCI-EQ,1491,IFCI
GOLD1-EQ,14858,GOLD1
ADANIPORTS-EQ,15083,ADANIPORTS
INDHOTEL-EQ,1512,INDHOTEL
COLPAL-EQ,15141,COLPAL
KALYANIFRG-EQ,15156,KALYANIFRG
UJJIVANSFB-EQ,15228,UJJIVANSFB
CORDSCABLE-EQ,15271,CORDSCABLE
ONMOBILE-EQ,15278,ONMOBILE
HERCULES-EQ,15288,HERCULES
GOLDETFADD-EQ,15356,GOLDETFADD
VGUARD-EQ,15362,VGUARD
DHANI-EQ,15384,DHANI
RVHL-EQ,1565,RVHL
EIHAHOTELS-EQ,15399,EIHAHOTELS
MGEL-EQ,1593,MGEL
SILVERAG-EQ,16777,SILVERAG
PATANJALI-EQ,17029,PATANJALI
URAVIDEF-EQ,17071,URAVIDEF
AJMERA-EQ,17307,AJMERA
SALONA-EQ,17351,SALONA
PREMEXPLN-EQ,17397,PREMEXPLN
LIQUID-EQ,17572,LIQUID
PVTBANKADD-EQ,17576,PVTBANKADD
ASALCBR-EQ,17598,ASALCBR
SOMICONVEY-EQ,17794,SOMICONVEY
AHLUCONT-EQ,17833,AHLUCONT
MMTC-EQ,17957,MMTC
ARENTERP-EQ,181,ARENTERP
EMMBI-EQ,18142,EMMBI
KECL-EQ,18220,KECL
ISFT-EQ,18479,ISFT
KESORAMIND-EQ,1859,KESORAMIND
KSL-EQ,18889,KSL
ROLLT-EQ,19104,ROLLT
HISARMETAL-EQ,19322,HISARMETAL
KSB-EQ,1949,KSB
KREBSBIO-EQ,1937,KREBSBIO
AHLEAST-EQ,19438,AHLEAST
HDFCGOLD-EQ,19543,HDFCGOLD
TRENT-EQ,1964,TRENT
ITETF-EQ,19633,ITETF
LMW-EQ,1979,LMW
GPPL-EQ,19731,GPPL
LGHL-EQ,19876,LGHL
