symbol,token,name
DEEPAKNTR-EQ,19943,DEEPAKNTR
BEDMUTHA-EQ,20196,BEDMUTHA
M&M-EQ,2031,M&M
IOLCP-EQ,20413,IOLCP
GRAVITA-EQ,20534,GRAVITA
BBNPPGOLD-EQ,20547,BBNPPGOLD
PENIND-EQ,20621,PENIND
SCHAND-EQ,20698,SCHAND
MOIL-EQ,20830,MOIL
SUNCLAY-EQ,20956,SUNCLAY
DYNPRO-EQ,21314,DYNPRO
SALASAR-EQ,21362,SALASAR
SIS-EQ,21501,SIS
SMSLIFE-EQ,21551,SMSLIFE
ABCAPITAL-EQ,21614,ABCAPITAL
AKG-EQ,2176,AKG
CHOLAHLDNG-EQ,21740,CHOLAHLDNG
BOSCHLTD-EQ,2181,BOSCHLTD
DIAMONDYD-EQ,21840,DIAMONDYD
IEX-EQ,220,IEX
MODIRUBBER-EQ,2229,MODIRUBBER
WORTH-EQ,22277,WORTH
TIRUPATIFL-EQ,22282,TIRUPATIFL
LOVABLE-EQ,22415,LOVABLE
NIF5GETF-EQ,22521,NIF5GETF
HEALTHADD-EQ,22592,HEALTHADD
HDFCPSUBK-EQ,22595,HDFCPSUBK
VSTL-EQ,22730,VSTL
RKSWAMY-EQ,23043,RKSWAMY
HEIDELBERG-EQ,2316,HEIDELBERG
171NSETEST-EQ,23446,171NSETEST
NURECA-EQ,2350,NURECA
TARACHAND-EQ,23512,TARACHAND
GODIGIT-EQ,23799,GODIGIT
IXIGO-EQ,24067,IXIGO
MID150CASE-EQ,24077,MID150CASE
DEEDEV-EQ,24154,DEEDEV
ESTER-EQ,24265,ESTER
ASHIANA-EQ,24403,ASHIANA
CENTRUM-EQ,2454,CENTRUM
OILCOUNTUB-EQ,2472,OILCOUNTUB
SUYOG-EQ,24851,SUYOG
METALIETF-EQ,24861,METALIETF
ORIENTPPR-EQ,2496,ORIENTPPR
MFML-EQ,24937,MFML
BODALCHEM-EQ,25017,BODALCHEM
PANAMAPET-EQ,25392,PANAMAPET
GROWWLIQID-EQ,25447,GROWWLIQID
HYUNDAI-EQ,25844,HYUNDAI
MTARTECH-EQ,2709,MTARTECH
BLACKBUCK-EQ,27144,BLACKBUCK
RTNINDIA-EQ,27297,RTNINDIA
SAMPANN-EQ,27303,SAMPANN
PRSMJOHNSN-EQ,2739,PRSMJOHNSN
IGIL-EQ,28378,IGIL
CARRARO-EQ,28879,CARRARO
ROSSELLIND-EQ,28913,ROSSELLIND
NEXT30ADD-EQ,29464,NEXT30ADD
GROWWRAIL-EQ,29527,GROWWRAIL
SAKHTISUG-EQ,2969,SAKHTISUG
QPOWER-EQ,29711,QPOWER
NIF100IETF-EQ,30392,NIF100IETF
VEDL-EQ,3063,VEDL
PILITA-EQ,30835,PILITA
HONDAPOWER-EQ,3138,HONDAPOWER
SURYAROSNI-EQ,3375,SURYAROSNI
SWARAJENG-EQ,3384,SWARAJENG
MAFANG-EQ,3507,MAFANG
HEALTHIETF-EQ,3626,HEALTHIETF
JUBLPHARMA-EQ,3637,JUBLPHARMA
VESUVIUS-EQ,3676,VESUVIUS
VOLTAS-EQ,3718,VOLTAS
BBTC-EQ,380,BBTC
SINTERCOM-EQ,381,SINTERCOM
VSTIND-EQ,3724,VSTIND
FINEORG-EQ,3744,FINEORG
KHAITANLTD-EQ,3912,KHAITANLTD
21STCENMGM-EQ,4,21STCENMGM
PANACEABIO-EQ,4055,PANACEABIO
MARICO-EQ,4067,MARICO
SAMBHAAV-EQ,4127,SAMBHAAV
ALKYLAMINE-EQ,4487,ALKYLAMINE
3MINDIA-EQ,474,3MINDIA
BANKINDIA-EQ,4745,BANKINDIA
SHARDACROP-EQ,4992,SHARDACROP
BOMDYEING-EQ,513,BOMDYEING
SBIETFCON-EQ,5168,SBIETFCON
ANTGRAPHIC-EQ,5194,ANTGRAPHIC
BRITANNIA-EQ,547,BRITANNIA
YUKEN-EQ,5501,YUKEN
SHANTI-EQ,5650,SHANTI
BANKNIFTY1-EQ,5851,BANKNIFTY1
LAGNAM-EQ,5865,LAGNAM
GRAPHITE-EQ,592,GRAPHITE
AXISBANK-EQ,5900,AXISBANK
GULPOLY-EQ,6286,GULPOLY
LAMBODHARA-EQ,6407,LAMBODHARA
GENUSPAPER-EQ,6600,GENUSPAPER
SJS-EQ,6643,SJS
DMCC-EQ,6973,DMCC
SHALBY-EQ,714,SHALBY
HESTERBIO-EQ,7048,HESTERBIO
METROBRAND-EQ,7242,METROBRAND
MONQ50-EQ,7422,MONQ50
AONENIFTY-EQ,757096,AONENIFTY
EQUAL50-EQ,757142,EQUAL50
BLUSPRING-EQ,757520,BLUSPRING
LIQGRWBEES-EQ,757725,LIQGRWBEES
BRIGHOTEL-EQ,757794,BRIGHOTEL
DHANUKA-EQ,24409,DHANUKA
AGIIL-EQ,24445,AGIIL
EVINDIA-EQ,24461,EVINDIA
SBINEQWETF-EQ,24524,SBINEQWETF
FILATEX-EQ,24532,FILATEX
RPEL-EQ,24735,RPEL
BSLNIFTY-EQ,24781,BSLNIFTY
INVENTURE-EQ,24870,INVENTURE
ORIENTHOT-EQ,2493,ORIENTHOT
WINDMACHIN-EQ,24969,WINDMACHIN
PNGJL-EQ,25312,PNGJL
RUPA-EQ,25724,RUPA
KANANIIND-EQ,25786,KANANIIND
AFFORDABLE-EQ,25855,AFFORDABLE
DBEIL-EQ,25892,DBEIL
GODAVARIB-EQ,25941,GODAVARIB
SEAMECLTD-EQ,2616,SEAMECLTD
HERANBA-EQ,2614,HERANBA
DIVOPPBEES-EQ,2636,DIVOPPBEES
PCBL-EQ,2649,PCBL
POLYPLEX-EQ,2687,POLYPLEX
ABINFRA-EQ,27020,ABINFRA
EIEL-EQ,27213,EIEL
ROSSTECH-EQ,27353,ROSSTECH
RAJSREESUG-EQ,2809,RAJSREESUG
RALLIS-EQ,2816,RALLIS
RCF-EQ,2866,RCF
HITECH-EQ,2868,HITECH
MAYURUNIQ-EQ,28906,MAYURUNIQ
UNIMECH-EQ,28960,UNIMECH
RICOAUTO-EQ,2909,RICOAUTO
ZUARI-EQ,29050,ZUARI
SGLTL-EQ,29075,SGLTL
INDUSTOWER-EQ,29135,INDUSTOWER
STALLION-EQ,29204,STALLION
SUPREME-EQ,29439,SUPREME
PROTEAN-EQ,29472,PROTEAN
HEXT-EQ,29666,HEXT
MSCIINDIA-EQ,29758,MSCIINDIA
SANGHIIND-EQ,2997,SANGHIIND
KOHINOOR-EQ,3009,KOHINOOR
AXISVALUE-EQ,30155,AXISVALUE
SAURASHCEM-EQ,3018,SAURASHCEM
ESSENTIA-EQ,30323,ESSENTIA
SBIN-EQ,3045,SBIN
SPECTRUM-EQ,30455,SPECTRUM
SHREYANIND-EQ,3126,SHREYANIND
MCX-EQ,31181,MCX
NBCC-EQ,31415,NBCC
LODHA-EQ,3220,LODHA
TEMBO-EQ,3275,TEMBO
MODISONLTD-EQ,3316,MODISONLTD
SUPERSPIN-EQ,3357,SUPERSPIN
BANARBEADS-EQ,347,BANARBEADS
SMLISUZU-EQ,3387,SMLISUZU
TATAELXSI-EQ,3411,TATAELXSI
UNIVCABLES-EQ,3607,UNIVCABLES
BASF-EQ,368,BASF
VIPIND-EQ,3703,VIPIND
VENKEYS-EQ,3757,VENKEYS
WIPRO-EQ,3787,WIPRO
BHARATRAS-EQ,3834,BHARATRAS
HATSUN-EQ,3892,HATSUN
AEGISLOG-EQ,40,AEGISLOG
GOCLCORP-EQ,3963,GOCLCORP
PUNJABCHEM-EQ,4344,PUNJABCHEM
KOTHARIPET-EQ,4594,KOTHARIPET
SONACOMS-EQ,4684,SONACOMS
INDNIPPON-EQ,4747,INDNIPPON
CONCOR-EQ,4749,CONCOR
DODLA-EQ,4822,DODLA
ADROITINFO-EQ,4953,ADROITINFO
PHARMABEES-EQ,4973,PHARMABEES
UTIAMC-EQ,527,UTIAMC
GMDCLTD-EQ,5204,GMDCLTD
EXXARO-EQ,5352,EXXARO
CHEMPLASTS-EQ,5449,CHEMPLASTS
KOTHARIPRO-EQ,5528,KOTHARIPRO
AXISCETF-EQ,5732,AXISCETF
CYIENT-EQ,5748,CYIENT
CYBERTECH-EQ,6051,CYBERTECH
ATGL-EQ,6066,ATGL
CENTENKA-EQ,619,CENTENKA
IGARASHI-EQ,634,IGARASHI
MOLDTKPAC-EQ,6713,MOLDTKPAC
CIPLA-EQ,694,CIPLA
GOCOLORS-EQ,6964,GOCOLORS
ASIANENE-EQ,7030,ASIANENE
ABSLNN50ET-EQ,7339,ABSLNN50ET
COROMANDEL-EQ,739,COROMANDEL
EVIETF-EQ,755881,EVIETF
NPST-EQ,756324,NPST
MONEXT50-EQ,757167,MONEXT50
SNXT30BEES-EQ,757455,SNXT30BEES
IGCL-EQ,757801,IGCL
MOMIDMTM-EQ,757817,MOMIDMTM
ANTHEM-EQ,757885,ANTHEM
BORANA-EQ,757919,BORANA
MIDHANI-EQ,2463,MIDHANI
RELTD-EQ,24596,RELTD
AKUMS-EQ,24715,AKUMS
CEIGALL-EQ,24742,CEIGALL
GSEC10ABSL-EQ,24847,GSEC10ABSL
LTF-EQ,24948,LTF
ECOSMOBLTY-EQ,25060,ECOSMOBLTY
ASAHISONG-EQ,25088,ASAHISONG
BCLIND-EQ,2513,BCLIND
BROOKS-EQ,25136,BROOKS
RVTH-EQ,25157,RVTH
WCIL-EQ,25403,WCIL
UYFINCORP-EQ,25626,UYFINCORP
ESSARSHPNG-EQ,25634,ESSARSHPNG
LLOYDSENT-EQ,25807,LLOYDSENT
VINCOFE-EQ,25835,VINCOFE
WAAREEENER-EQ,25907,WAAREEENER
AFCONS-EQ,25977,AFCONS
NIFTY,26000,NIFTY
CHEMCON-EQ,270,CHEMCON
SPECIALITY-EQ,27107,SPECIALITY
AUROPHARMA-EQ,275,AUROPHARMA
AUTOAXLES-EQ,278,AUTOAXLES
JUBLINGREA-EQ,2783,JUBLINGREA
CHEMFAB-EQ,2799,CHEMFAB
ARVEE-EQ,2814,ARVEE
RIIL-EQ,2912,RIIL
NAZARA-EQ,2987,NAZARA
VIVIDHA-EQ,29877,VIVIDHA
ORIENTCEM-EQ,30089,ORIENTCEM
EQUAL200-EQ,30121,EQUAL200
BHARATSE-EQ,30244,BHARATSE
TIINDIA-EQ,312,TIINDIA
RHIM-EQ,31163,RHIM
SCHNEIDER-EQ,31234,SCHNEIDER
SKFINDIA-EQ,3186,SKFINDIA
STARPAPER-EQ,3291,STARPAPER
SUNFLAG-EQ,3348,SUNFLAG
THOMASCOOK-EQ,3481,THOMASCOOK
UCAL-EQ,3570,UCAL
TATACOMM-EQ,3721,TATACOMM
WALCHANNAG-EQ,3736,WALCHANNAG
ZUARIIND-EQ,3827,ZUARIIND
NATCOPHARM-EQ,3918,NATCOPHARM
GREENPLY-EQ,3987,GREENPLY
AUSOMENT-EQ,4037,AUSOMENT
BHARATFORG-EQ,422,BHARATFORG
REGENCERAM-EQ,4130,REGENCERAM
GULFOILLUB-EQ,4391,GULFOILLUB
MIRZAINT-EQ,4394,MIRZAINT
JAGSNPHARM-EQ,4410,JAGSNPHARM
JCHAC-EQ,4491,JCHAC
DYNAMATECH-EQ,4525,DYNAMATECH
GUJRAFFIA-EQ,4548,GUJRAFFIA
SNOWMAN-EQ,4843,SNOWMAN
HINDCON-EQ,4920,HINDCON
IPL-EQ,4934,IPL
IRCON-EQ,4986,IRCON
SHEMAROO-EQ,5068,SHEMAROO
JAICORPLTD-EQ,5143,JAICORPLTD
STYLAMIND-EQ,5186,STYLAMIND
BPCL-EQ,526,BPCL
DEVYANI-EQ,5373,DEVYANI
TRIGYN-EQ,5428,TRIGYN
ACUTAAS-EQ,5578,ACUTAAS
FCL-EQ,6198,FCL
SELMC-EQ,6262,SELMC
MEDICAMEQ-EQ,6278,MEDICAMEQ
CHAMBLFERT-EQ,637,CHAMBLFERT
DNAMEDIA-EQ,641,DNAMEDIA
LAXMICOT-EQ,6568,LAXMICOT
JINDALSTEL-EQ,6733,JINDALSTEL
FOCUS-EQ,6836,FOCUS
GREENLAM-EQ,6848,GREENLAM
VISHNU-EQ,6908,VISHNU
MENONBE-EQ,6961,MENONBE
ACCELYA-EQ,7053,ACCELYA
SETFNN50-EQ,7353,SETFNN50
NIFTY50ADD-EQ,7451,NIFTY50ADD
GROWWMOM50-EQ,756086,GROWWMOM50
SILVER360-EQ,756150,SILVER360
GROWWSLVR-EQ,756827,GROWWSLVR
MON50EQUAL-EQ,756900,MON50EQUAL
PRIMO-EQ,756925,PRIMO
MOPSE-EQ,757431,MOPSE
DIGITIDE-EQ,757515,DIGITIDE
RMDRIP-EQ,757834,RMDRIP
TOP15IETF-EQ,757781,TOP15IETF
CRIZAC-EQ,757850,CRIZAC
NOCIL-EQ,2442,NOCIL
AVANTEL-EQ,24610,AVANTEL
RUBFILA-EQ,24730,RUBFILA
ONGC-EQ,2475,ONGC
GROWWEV-EQ,24798,GROWWEV
INTERARCH-EQ,24909,INTERARCH
TOP10ADD-EQ,25171,TOP10ADD
TIJARIA-EQ,25482,TIJARIA
METAL-EQ,25744,METAL
GROWWDEFNC-EQ,25758,GROWWDEFNC
PIDILITIND-EQ,2664,PIDILITIND
TBZ-EQ,27037,TBZ
SAGILITY-EQ,27052,SAGILITY
SWIGGY-EQ,27066,SWIGGY
LIQUIDPLUS-EQ,27075,LIQUIDPLUS
CINELINE-EQ,27161,CINELINE
EASEMYTRIP-EQ,2792,EASEMYTRIP
ANUHPHR-EQ,28314,ANUHPHR
PROZONER-EQ,28859,PROZONER
DUCON-EQ,28952,DUCON
ECAPINSURE-EQ,29019,ECAPINSURE
CARERATING-EQ,29113,CARERATING
DENTA-EQ,29256,DENTA
S&SPOWER-EQ,2951,S&SPOWER
UNIONGOLD-EQ,29687,UNIONGOLD
SANDESH-EQ,2988,SANDESH
BSE500IETF-EQ,3001,BSE500IETF
SELECTIPO-EQ,30109,SELECTIPO
SHREECEM-EQ,3103,SHREECEM
BARBEQUE-EQ,3127,BARBEQUE
SIEMENS-EQ,3150,SIEMENS
LYPSAGEMS-EQ,31468,LYPSAGEMS
BAJFINANCE-EQ,317,BAJFINANCE
SUPREMEIND-EQ,3363,SUPREMEIND
AGARIND-EQ,3389,AGARIND
CAMS-EQ,342,CAMS
TAINWALCHM-EQ,3396,TAINWALCHM
WEIZMANIND-EQ,3748,WEIZMANIND
ARIHANTCAP-EQ,3813,ARIHANTCAP
BEL-EQ,383,BEL
SOMANYCERA-EQ,3880,SOMANYCERA
CAPLIPOINT-EQ,3906,CAPLIPOINT
TNPL-EQ,3980,TNPL
NIACL-EQ,399,NIACL
BERGEPAINT-EQ,404,BERGEPAINT
CORALFINAC-EQ,4007,CORALFINAC
KHADIM-EQ,425,KHADIM
HDFCAMC-EQ,4244,HDFCAMC
SENSEXIETF-EQ,4378,SENSEXIETF
CREDITACC-EQ,4421,CREDITACC
SIGIND-EQ,4522,SIGIND
RAMCOIND-EQ,4587,RAMCOIND
HAPPSTMNDS-EQ,48,HAPPSTMNDS
DCMFINSERV-EQ,4775,DCMFINSERV
ICEMAKE-EQ,489,ICEMAKE
KIMS-EQ,4847,KIMS
FDC-EQ,4898,FDC
ENGINERSIN-EQ,4907,ENGINERSIN
ICICIBANK-EQ,4963,ICICIBANK
GRINFRA-EQ,5054,GRINFRA
MAZDOCK-EQ,509,MAZDOCK
BFSI-EQ,5220,BFSI
PRITIKAUTO-EQ,5292,PRITIKAUTO
CARTRADE-EQ,5407,CARTRADE
CEMPRO-EQ,5622,CEMPRO
INTELLECT-EQ,5926,INTELLECT
MONTECARLO-EQ,5938,MONTECARLO
BHAGCHEM-EQ,6164,BHAGCHEM
CAMLINFINE-EQ,6216,CAMLINFINE
ABREL-EQ,625,ABREL
SIGACHI-EQ,6663,SIGACHI
STEELCAS-EQ,6803,STEELCAS
CHOLAFIN-EQ,685,CHOLAFIN
BAJAJHCARE-EQ,6863,BAJAJHCARE
SETFNIFBK-EQ,7361,SETFNIFBK
MANAKCOAT-EQ,7413,MANAKCOAT
TREJHARA-EQ,7518,TREJHARA
NRBBEARING-EQ,7553,NRBBEARING
OSWALPUMPS-EQ,756802,OSWALPUMPS
THELEELA-EQ,757014,THELEELA
AEGISVOPAK-EQ,757336,AEGISVOPAK
EBGNG-EQ,757862,EBGNG
GROWWNIFTY-EQ,758697,GROWWNIFTY
CPPLUS-EQ,758858,CPPLUS
CMSINFO-EQ,7603,CMSINFO
SML100CASE-EQ,758955,SML100CASE
KEEPLEARN-EQ,778,KEEPLEARN
BYKE-EQ,7919,BYKE
ZYDUSLIFE-EQ,7929,ZYDUSLIFE
AWL-EQ,8110,AWL
FIBERWEB-EQ,8159,FIBERWEB
MANYAVAR-EQ,8167,MANYAVAR
BANKA-EQ,822,BANKA
BCG-EQ,8833,BCG
CHOICEIN-EQ,8866,CHOICEIN
HARDWYN-EQ,8962,HARDWYN
ANUP-EQ,9014,ANUP
TPLPLASTEH-EQ,9219,TPLPLASTEH
STARTECK-EQ,9305,STARTECK
IOB-EQ,9348,IOB
DPABHUSHAN-EQ,936,DPABHUSHAN
AXISCADES-EQ,9436,AXISCADES
KHANDSE-EQ,9641,KHANDSE
TRIDENT-EQ,9685,TRIDENT
PARADEEP-EQ,9741,PARADEEP
NEOGEN-EQ,9917,NEOGEN
GROWWPOWER-EQ,758165,GROWWPOWER
GLOBECIVIL-EQ,758572,GLOBECIVIL
URBANCO-EQ,759084,URBANCO
SHRINGARMS-EQ,759093,SHRINGARMS
BIL-EQ,7848,BIL
AUTOBEES-EQ,7880,AUTOBEES
SHIVATEX-EQ,804,SHIVATEX
DCM-EQ,805,DCM
BSHSL-EQ,809,BSHSL
VIPULLTD-EQ,8424,VIPULLTD
XELPMOC-EQ,8477,XELPMOC
AKSHOPTFBR-EQ,8591,AKSHOPTFBR
MSUMI-EQ,8596,MSUMI
VRLLOG-EQ,8696,VRLLOG
ASTRON-EQ,874,ASTRON
SHAILY-EQ,8727,SHAILY
AVROIND-EQ,8827,AVROIND
GAEL-EQ,8828,GAEL
BALAJITELE-EQ,9158,BALAJITELE
KRITIKA-EQ,9288,KRITIKA
TAJGVK-EQ,9354,TAJGVK
SUBEXLTD-EQ,967,SUBEXLTD
ETHOSLTD-EQ,9750,ETHOSLTD
NV20BEES-EQ,9847,NV20BEES
SHANTIGOLD-EQ,758002,SHANTIGOLD
GROWWLOVOL-EQ,758300,GROWWLOVOL
RNBDENIMS-EQ,758981,RNBDENIMS
GCSL-EQ,758986,GCSL
PATELRMART-EQ,759439,PATELRMART
LFIC-EQ,7902,LFIC
KTKBANK-EQ,8054,KTKBANK
AJANTPHARM-EQ,8124,AJANTPHARM
BLBLIMITED-EQ,8132,BLBLIMITED
MOMOMENTUM-EQ,8182,MOMOMENTUM
PRITI-EQ,8304,PRITI
MITCON-EQ,8469,MITCON
NLCINDIA-EQ,8585,NLCINDIA
PRIVISCL-EQ,8825,PRIVISCL
EICHERMOT-EQ,910,EICHERMOT
TTML-EQ,8954,TTML
UMIYA-MRO-EQ,8998,UMIYA-MRO
ORCHPHARMA-EQ,926,ORCHPHARMA
ARROWGREEN-EQ,9260,ARROWGREEN
ELECTCAST-EQ,928,ELECTCAST
SILVERTUC-EQ,9422,SILVERTUC
PRUDENT-EQ,9553,PRUDENT
HIKAL-EQ,9668,HIKAL
WEWIN-EQ,9862,WEWIN
MBEL-EQ,758150,MBEL
REGAAL-EQ,758680,REGAAL
SGFIN-EQ,758853,SGFIN
AHCL-EQ,758968,AHCL
VIKRAN-EQ,758973,VIKRAN
WEL-EQ,7835,WEL
AUTOIETF-EQ,7844,AUTOIETF
SILVER-EQ,8003,SILVER
MIDCAP-EQ,8077,MIDCAP
DEVIT-EQ,8146,DEVIT
VETO-EQ,8652,VETO
DIL-EQ,8657,DIL
DRREDDY-EQ,881,DRREDDY
KHAICHEM-EQ,896,KHAICHEM
E2E-EQ,8937,E2E
UFO-EQ,9039,UFO
EIDPARRY-EQ,916,EIDPARRY
ELGIEQUIP-EQ,937,ELGIEQUIP
RAINBOW-EQ,9408,RAINBOW
SPLPETRO-EQ,9617,SPLPETRO
RELCHEMQ-EQ,9652,RELCHEMQ
EMUDHRA-EQ,9756,EMUDHRA
EVERESTIND-EQ,993,EVERESTIND
RADHIKAJWE-EQ,10343,RADHIKAJWE
MPSLTD-EQ,10578,MPSLTD
OLECTRA-EQ,10637,OLECTRA
PONNIERODE-EQ,10661,PONNIERODE
GABRIEL-EQ,1085,GABRIEL
SILVERADD-EQ,10761,SILVERADD
GVPTECH-EQ,10865,GVPTECH
MARUTI-EQ,10999,MARUTI
LIQUIDBEES-EQ,11006,LIQUIDBEES
DCMNVL-EQ,11039,DCMNVL
SIRCA-EQ,11050,SIRCA
SUVEN-EQ,11233,SUVEN
BIOCON-EQ,11373,BIOCON
PVTBANIETF-EQ,11386,PVTBANIETF
ZOTA-EQ,11394,ZOTA
DATAMATICS-EQ,11423,DATAMATICS
SPANDANA-EQ,11435,SPANDANA
GLFL-EQ,1156,GLFL
HDFCMOMENT-EQ,11538,HDFCMOMENT
DCI-EQ,11566,DCI
HDFCSENSEX-EQ,11593,HDFCSENSEX
LINCOLN-EQ,11596,LINCOLN
WELENT-EQ,11626,WELENT
GMBREW-EQ,1168,GMBREW
SUKHJITS-EQ,11804,SUKHJITS
IIFL-EQ,11809,IIFL
PRIMESECU-EQ,11864,PRIMESECU
INOXGREEN-EQ,12188,INOXGREEN
PRECAM-EQ,12603,PRECAM
GUJALKALI-EQ,1267,GUJALKALI
EMAMIPAP-EQ,10074,EMAMIPAP
ORICONENT-EQ,10159,ORICONENT
DYCL-EQ,10417,DYCL
MARKSANS-EQ,10579,MARKSANS
HDFCNIF100-EQ,10633,HDFCNIF100
RADICO-EQ,10990,RADICO
AGRITECH-EQ,11072,AGRITECH
SHRENIK-EQ,11149,SHRENIK
AXISILVER-EQ,11193,AXISILVER
HDFCVALUE-EQ,11260,HDFCVALUE
IGL-EQ,11262,IGL
TVTODAY-EQ,11275,TVTODAY
SIL-EQ,11297,SIL
BANKBEES-EQ,11439,BANKBEES
LICNETFSEN-EQ,11441,LICNETFSEN
CENTEXT-EQ,11511,CENTEXT
GLAXO-EQ,1153,GLAXO
NARMADA-EQ,11627,NARMADA
HPIL-EQ,11796,HPIL
SURYALAXMI-EQ,11852,SURYALAXMI
GOLDIAM-EQ,11971,GOLDIAM
AURIONPRO-EQ,12022,AURIONPRO
ZIMLAB-EQ,12384,ZIMLAB
VINNY-EQ,12490,VINNY
MBAPL-EQ,12686,MBAPL
ARE&M-EQ,100,ARE&M
FACT-EQ,1008,FACT
SETFNIF50-EQ,10176,SETFNIF50
MANORAMA-EQ,10227,MANORAMA
CONFIPET-EQ,10238,CONFIPET
SHAREINDIA-EQ,104,SHAREINDIA
FINPIPE-EQ,1041,FINPIPE
MUTHOOTCAP-EQ,10415,MUTHOOTCAP
UNITDSPR-EQ,10447,UNITDSPR
RAMRAT-EQ,10485,RAMRAT
SHARDAMOTR-EQ,10530,SHARDAMOTR
SURANAT&P-EQ,10700,SURANAT&P
HDFCSILVER-EQ,10876,HDFCSILVER
SATIA-EQ,11045,SATIA
LIBAS-EQ,11082,LIBAS
GHCL-EQ,1127,GHCL
IDFCFIRSTB-EQ,11184,IDFCFIRSTB
GTECJAINX-EQ,1129,GTECJAINX
RKFORGE-EQ,11411,RKFORGE
NDTV-EQ,11427,NDTV
NV20-EQ,11457,NV20
NIITLTD-EQ,11522,NIITLTD
EMIL-EQ,11530,EMIL
ULTRACEMCO-EQ,11532,ULTRACEMCO
WESTLIFE-EQ,11580,WESTLIFE
GTL-EQ,1162,GTL
ASTRAMICRO-EQ,11618,ASTRAMICRO
JBMA-EQ,11655,JBMA
GNFC-EQ,1174,GNFC
JINDALPHOT-EQ,11743,JINDALPHOT
GODFRYPHLP-EQ,1181,GODFRYPHLP
EVEREADY-EQ,11782,EVEREADY
GLAND-EQ,1186,GLAND
SHAHALLOYS-EQ,11856,SHAHALLOYS
MANINDS-EQ,11884,MANINDS
DCXINDIA-EQ,11895,DCXINDIA
GENUSPOWER-EQ,11905,GENUSPOWER
YESBANK-EQ,11915,YESBANK
MSPL-EQ,11919,MSPL
KANSAINER-EQ,1196,KANSAINER
FUSION-EQ,11932,FUSION
BIKAJI-EQ,11966,BIKAJI
ESG-EQ,1200,ESG
SYNCOMF-EQ,11992,SYNCOMF
IMPAL-EQ,12009,IMPAL
AEROENTER-EQ,12015,AEROENTER
ACI-EQ,12024,ACI
RUSTOMJEE-EQ,12219,RUSTOMJEE
GREAVESCOT-EQ,1235,GREAVESCOT
ARVSMART-EQ,10457,ARVSMART
POWERMECH-EQ,10473,POWERMECH
NIFTYBEES-EQ,10576,NIFTYBEES
HDFCNEXT50-EQ,10619,HDFCNEXT50
ZENSARTECH-EQ,1076,ZENSARTECH
APTECHT-EQ,10755,APTECHT
INFOBEAN-EQ,11027,INFOBEAN
UCOBANK-EQ,11223,UCOBANK
JSL-EQ,11236,JSL
UNIENTER-EQ,11293,UNIENTER
LICNETFN50-EQ,11319,LICNETFN50
MUKANDLTD-EQ,11325,MUKANDLTD
